split,instrument,topic,lag,m5_confirmed,m5_score,m5_pvalue,m5_n,m5_reason,m6_confirmed,m6_score,m6_pvalue,m6_n,m6_reason,confirmed,error,elapsed_s
train,SP500,oil,1,False,-0.000201,0.662653,541,z_below_crit,False,0.053872,0.85,541,ic_below_min,False,,2.3
train,SP500,oil,7,False,-0.000262,0.517128,541,z_below_crit,False,0.036254,0.19,535,bootstrap_ci_includes_zero,False,,0.2
train,SP500,oil,14,False,-0.0001,0.811286,541,z_below_crit,False,0.022581,0.645,528,ic_below_min,False,,0.17
train,SP500,oil,30,False,0.000293,0.538343,541,z_below_crit,False,0.008506,0.55,512,ic_below_min,False,,0.27
train,SP500,oil,60,False,7.8e-05,0.646878,541,z_below_crit,False,0.016914,0.585,482,ic_below_min,False,,0.37
train,SP500,oil,90,False,-9e-06,0.942264,541,z_below_crit,False,0.109612,0.99,452,ic_below_min,False,,0.57
train,SP500,rate,1,False,-0.000264,0.486875,541,z_below_crit,False,0.017257,0.32,541,ic_below_min,False,,0.19
train,SP500,rate,7,False,-0.000304,0.397041,541,z_below_crit,False,0.018897,0.66,535,ic_below_min,False,,0.18
train,SP500,rate,14,False,0.000226,0.528677,541,z_below_crit,False,0.03006,0.725,528,ic_below_min,False,,0.2
train,SP500,rate,30,False,-4.4e-05,0.934799,541,z_below_crit,False,0.031378,0.305,512,bootstrap_ci_includes_zero,False,,0.22
train,SP500,rate,60,False,0.00018,0.528994,541,z_below_crit,False,0.081261,0.9,482,ic_below_min,False,,0.37
train,SP500,rate,90,False,1.1e-05,0.962172,541,z_below_crit,False,0.041191,0.78,452,ic_below_min,False,,0.47
train,SP500,ruble,1,False,-3.4e-05,0.943318,541,z_below_crit,False,0.006124,0.435,541,ic_below_min,False,,0.19
train,SP500,ruble,7,False,-5.6e-05,0.910762,541,z_below_crit,False,0.047408,0.165,535,bootstrap_ci_includes_zero,False,,0.18
train,SP500,ruble,14,False,0.000705,0.16251,541,z_below_crit,False,0.022452,0.345,528,ic_below_min,False,,0.2
train,SP500,ruble,30,False,-0.001069,0.076173,541,z_below_crit,False,0.041347,0.2,512,bootstrap_ci_includes_zero,False,,0.22
train,SP500,ruble,60,False,0.000142,0.437948,541,z_below_crit,False,0.039923,0.745,482,ic_below_min,False,,0.36
train,SP500,ruble,90,False,-1.8e-05,0.794511,541,z_below_crit,False,0.008916,0.41,452,ic_below_min,False,,0.47
train,SP500,sanctions,1,False,0.000181,0.656839,541,z_below_crit,False,0.02031,0.355,541,ic_below_min,False,,0.17
train,SP500,sanctions,7,False,0.000371,0.377902,541,z_below_crit,False,0.026814,0.265,535,ic_below_min,False,,0.17
train,SP500,sanctions,14,False,0.000431,0.289946,541,z_below_crit,False,0.02878,0.745,528,ic_below_min,False,,0.18
train,SP500,sanctions,30,False,-0.000204,0.633166,541,z_below_crit,False,0.011239,0.595,512,ic_below_min,False,,0.23
train,SP500,sanctions,60,False,0.00018,0.180977,541,z_below_crit,False,0.063472,0.89,482,ic_below_min,False,,0.37
train,SP500,sanctions,90,False,-8e-06,0.894486,541,z_below_crit,False,0.017933,0.305,452,ic_below_min,False,,0.53
train,SP500,inflation,1,False,-0.000333,0.433916,541,z_below_crit,False,0.010081,0.57,541,ic_below_min,False,,0.23
train,SP500,inflation,7,False,-0.000368,0.322866,541,z_below_crit,False,0.017241,0.38,535,ic_below_min,False,,0.18
train,SP500,inflation,14,False,0.000194,0.59475,541,z_below_crit,False,0.065512,0.93,528,ic_below_min,False,,0.23
train,SP500,inflation,30,False,-0.00011,0.827626,541,z_below_crit,False,0.004232,0.485,512,ic_below_min,False,,0.21
train,SP500,inflation,60,False,0.000119,0.61509,541,z_below_crit,False,0.112146,0.985,482,ic_below_min,False,,0.46
train,SP500,inflation,90,False,6e-06,0.976427,541,z_below_crit,False,0.013776,0.615,452,ic_below_min,False,,0.5
train,SP500,banking,1,False,-6.2e-05,0.88468,541,z_below_crit,False,0.006245,0.545,541,ic_below_min,False,,0.17
train,SP500,banking,7,False,-0.000342,0.370129,541,z_below_crit,False,0.053611,0.89,535,ic_below_min,False,,0.2
train,SP500,banking,14,False,0.000231,0.545383,541,z_below_crit,False,0.028299,0.775,528,ic_below_min,False,,0.17
train,SP500,banking,30,False,-0.000167,0.71459,541,z_below_crit,False,0.012673,0.635,512,ic_below_min,False,,0.24
train,SP500,banking,60,False,4.8e-05,0.812959,541,z_below_crit,False,0.028315,0.295,482,ic_below_min,False,,0.31
train,SP500,banking,90,False,4.5e-05,0.742708,541,z_below_crit,False,0.051596,0.825,452,ic_below_min,False,,0.48
train,SP500,gold,1,False,-4.5e-05,0.919946,541,z_below_crit,False,0.0126,0.63,541,ic_below_min,False,,0.19
train,SP500,gold,7,False,-8.4e-05,0.852431,541,z_below_crit,False,0.09417,0.97,535,ic_below_min,False,,0.2
train,SP500,gold,14,False,0.000135,0.787428,541,z_below_crit,False,0.015323,0.63,528,ic_below_min,False,,0.17
train,SP500,gold,30,False,-0.000157,0.773232,541,z_below_crit,False,0.004552,0.535,512,ic_below_min,False,,0.25
train,SP500,gold,60,False,-9.9e-05,0.605784,541,z_below_crit,False,0.0226,0.26,482,ic_below_min,False,,0.31
train,SP500,gold,90,False,-2.8e-05,0.736148,541,z_below_crit,False,0.018938,0.62,452,ic_below_min,False,,0.45
train,USD_RUB,oil,1,False,0.00086,0.415133,454,z_below_crit,False,0.061381,0.105,454,bootstrap_ci_includes_zero,False,,0.16
train,USD_RUB,oil,7,False,-0.00083,0.449586,454,z_below_crit,False,0.001291,0.53,448,ic_below_min,False,,0.2
train,USD_RUB,oil,14,False,0.000584,0.624089,454,z_below_crit,False,0.041734,0.81,441,ic_below_min,False,,0.16
train,USD_RUB,oil,30,False,0.001852,0.162642,454,z_below_crit,False,0.069768,0.14,425,bootstrap_ci_includes_zero,False,,0.2
train,USD_RUB,oil,60,False,-0.000132,0.777652,454,z_below_crit,False,0.001975,0.49,395,ic_below_min,False,,0.31
train,USD_RUB,oil,90,False,-6.4e-05,0.806113,454,z_below_crit,False,0.019588,0.305,365,ic_below_min,False,,0.48
train,USD_RUB,rate,1,False,0.000186,0.752745,454,z_below_crit,False,0.095006,0.93,454,ic_below_min,False,,0.17
train,USD_RUB,rate,7,False,0.000203,0.810121,454,z_below_crit,False,0.039383,0.2,448,bootstrap_ci_includes_zero,False,,0.19
train,USD_RUB,rate,14,False,0.000334,0.754178,454,z_below_crit,False,0.037805,0.245,441,bootstrap_ci_includes_zero,False,,0.17
train,USD_RUB,rate,30,False,-5e-06,0.997102,454,z_below_crit,False,0.047934,0.815,425,ic_below_min,False,,0.25
train,USD_RUB,rate,60,False,-0.000371,0.566854,454,z_below_crit,False,0.020735,0.285,395,ic_below_min,False,,0.34
train,USD_RUB,rate,90,False,-0.000349,0.413384,454,z_below_crit,False,0.052008,0.15,365,bootstrap_ci_includes_zero,False,,0.46
train,USD_RUB,ruble,1,False,0.000379,0.764592,454,z_below_crit,False,0.04423,0.23,454,bootstrap_ci_includes_zero,False,,0.17
train,USD_RUB,ruble,7,False,0.000896,0.488441,454,z_below_crit,False,0.048318,0.21,448,bootstrap_ci_includes_zero,False,,0.14
train,USD_RUB,ruble,14,False,-5.4e-05,0.967569,454,z_below_crit,False,0.118316,0.975,441,ic_below_min,False,,0.2
train,USD_RUB,ruble,30,False,-0.000521,0.724935,454,z_below_crit,False,0.004196,0.47,425,ic_below_min,False,,0.22
