instrument,topic,lag,m5_pvalue,m5_score,m6_ic,m6_confirmed,m5_confirmed,ensemble_pass,config_id,split,regime
SP500,oil,7,0.028524,-0.000974,0.038497,True,True,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,oil,14,0.842654,0.000115,0.082343,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,oil,30,0.165659,-0.002234,0.058908,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,rate,1,0.782313,-0.000136,0.051456,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,rate,7,0.533833,-0.000395,0.080166,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,rate,14,0.178261,-0.001356,0.087377,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,ruble,1,0.927234,-6.2e-05,0.080539,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,ruble,7,0.60478,0.000378,0.076385,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,ruble,14,0.628064,0.000348,0.055132,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,ruble,30,0.34712,-0.000358,0.043379,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,sanctions,14,0.906279,-0.000126,0.060012,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,inflation,1,0.257398,-0.000556,0.032436,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,inflation,30,0.272021,-0.001922,0.049842,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,banking,1,0.696415,-0.000176,0.076854,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,banking,7,0.004635,-0.001611,0.095878,True,True,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,gold,1,0.083108,0.000874,0.048646,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,gold,14,0.00933,-0.00207,0.066521,True,True,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
SP500,gold,30,0.767342,-0.000252,0.056522,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,oil,1,0.720623,-0.000156,0.112479,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,oil,7,0.458505,-0.000593,0.077273,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,oil,14,0.780271,-0.000338,0.048228,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,oil,30,0.249156,0.002669,0.042555,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,rate,1,0.8157,-0.000118,0.032073,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,rate,7,0.45467,-0.000831,0.034881,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,rate,14,0.721229,-0.00073,0.075498,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,rate,30,0.60397,-0.002652,0.064832,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,ruble,1,0.481514,-0.000658,0.113433,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,ruble,7,0.628627,-0.000492,0.135868,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,ruble,14,0.846175,-0.00019,0.078225,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
USD_RUB,ruble,30,0.740092,0.000112,0.093709,True,False,True,keyword_raw__market_return__M6_only__p0.05_ic0.03,train,
