window_start,instrument,topic,lag,m5_p,m5_score,m5_n,m6_ic,m6_p,m6_n,research,production,error
2022-01-02,USD_RUB,oil,1,0.29302,0.002259,258,0.026834,0.4,258,False,False,
2022-01-02,USD_RUB,oil,7,0.112199,-0.003294,258,0.003796,0.555,252,False,False,
2022-01-02,USD_RUB,oil,14,0.903856,0.000246,258,0.099965,0.94,245,False,False,
2022-01-02,USD_RUB,oil,30,0.344232,0.001112,258,0.076427,0.16,229,False,False,
2022-01-02,USD_RUB,rate,1,0.99419,-1.5e-05,258,0.125712,0.965,258,False,False,
2022-01-02,USD_RUB,rate,7,0.740468,0.000738,258,0.019096,0.46,252,False,False,
2022-01-02,USD_RUB,rate,14,0.662616,0.00106,258,0.048154,0.24,245,False,False,
2022-01-02,USD_RUB,rate,30,0.497577,-0.000695,258,0.006159,0.485,229,False,False,
2022-01-02,USD_RUB,ruble,1,0.080423,0.003199,258,0.01475,0.595,258,False,False,
2022-01-02,USD_RUB,ruble,7,0.791256,0.000512,258,0.030046,0.67,252,False,False,
2022-01-02,USD_RUB,ruble,14,0.991603,2.3e-05,258,0.036961,0.335,245,False,False,
2022-01-02,USD_RUB,ruble,30,0.561918,-0.000673,258,0.036161,0.27,229,False,False,
2022-01-02,USD_RUB,sanctions,1,0.052867,0.002619,258,0.064785,0.78,258,False,False,
2022-01-02,USD_RUB,sanctions,7,0.882817,0.000245,258,0.015514,0.605,252,False,False,
2022-01-02,USD_RUB,sanctions,14,0.186594,-0.002689,258,0.134533,0.99,245,False,False,
2022-01-02,USD_RUB,sanctions,30,0.86304,0.000214,258,0.040322,0.335,229,False,False,
2022-01-02,USD_RUB,inflation,1,0.508308,-0.001259,258,0.062282,0.83,258,False,False,
2022-01-02,USD_RUB,inflation,7,0.955545,-0.000112,258,0.127752,0.955,252,False,False,
2022-01-02,USD_RUB,inflation,14,0.855425,0.000396,258,0.059175,0.805,245,False,False,
2022-01-02,USD_RUB,inflation,30,0.995379,6e-06,258,0.019426,0.38,229,False,False,
