dataset,seed,news_field,lag,regime_filter,is_true_signal,confirmed,score,p_value,n
S1,0,news_mentions,1,,False,False,0.031301898828557766,0.3229756622693796,999
S1,0,news_mentions,7,,False,False,0.03277875941239321,0.3021202055095506,993
S1,0,news_mentions,14,,False,False,0.02039060197204438,0.522476777327616,986
S1,0,news_mentions,30,,False,False,0.013323023406958161,0.6785617401829005,970
S1,0,news_mentions,60,,False,False,0.003024382830861261,0.9262192365013967,940
S1,0,news_mentions,90,,False,False,0.004977943918638487,0.8807960079741114,910
S1,1,news_mentions,1,,False,False,-0.00820351788077799,0.7956599248920453,999
S1,1,news_mentions,7,,False,False,-0.007950376293036623,0.8024173103321428,993
S1,1,news_mentions,14,,False,False,0.00035019147742799397,0.9912375787583226,986
S1,1,news_mentions,30,,False,False,-0.002446670311014685,0.9393371756018978,970
S1,1,news_mentions,60,,False,False,-0.05273230838729327,0.106155960084551,940
S1,1,news_mentions,90,,False,False,-0.041543375993064874,0.21056110175581066,910
S1,2,news_mentions,1,,False,False,-0.01377835278237445,0.663586173513462,999
S1,2,news_mentions,7,,False,False,-0.022498186048702698,0.47884757164042047,993
S1,2,news_mentions,14,,False,False,-0.016055114887666845,0.614589029404025,986
S1,2,news_mentions,30,,False,False,-0.009117436403435219,0.7767164073040792,970
S1,2,news_mentions,60,,False,False,-0.046977002382218136,0.15010356546502163,940
S1,2,news_mentions,90,,False,False,-0.06523407465320011,0.04915377025849814,910
S1,3,news_mentions,1,,False,False,-0.013461002515367379,0.6708746028679542,999
S1,3,news_mentions,7,,False,False,-0.019193013560215067,0.5457756735092786,993
S1,3,news_mentions,14,,False,False,-0.014802474843483354,0.6424736782832264,986
S1,3,news_mentions,30,,False,False,-0.014396961566330054,0.6542716588476016,970
S1,3,news_mentions,60,,False,False,-0.017292570638298442,0.5964487200415884,940
S1,3,news_mentions,90,,False,False,-0.010234089145209,0.7578484520475279,910
S1,4,news_mentions,1,,False,False,0.09103421476946794,0.00398061645739549,999
