dataset,seed,news_field,lag,regime_filter,is_true_signal,confirmed,score,p_value,n
S1,0,news_mentions,1,,False,False,0.00985553263085013,0.7450607071336304,999
S1,0,news_mentions,7,,False,False,-0.02901819301172597,0.3271467819756928,993
S1,0,news_mentions,14,,False,False,-0.04061390810145645,0.23114625355386842,986
S1,0,news_mentions,30,,False,False,0.016970861907672614,0.6059696740473575,970
S1,0,news_mentions,60,,False,False,0.044378625096697696,0.18184631532750384,940
S1,0,news_mentions,90,,False,False,0.03695268111254419,0.3181838010453979,910
S1,1,news_mentions,1,,False,False,-0.03519106683943219,0.27640618710107057,999
S1,1,news_mentions,7,,False,False,0.006994527706322033,0.8397727148558707,993
S1,1,news_mentions,14,,False,False,0.041507179747488646,0.18777386606142565,986
S1,1,news_mentions,30,,False,False,0.030847783291434984,0.34258695494256397,970
S1,1,news_mentions,60,,False,False,-0.01894226818573109,0.5824702743169672,940
S1,1,news_mentions,90,,False,False,0.015226390172146114,0.6310530403990784,910
S1,2,news_mentions,1,,False,False,0.05999528524276287,0.07085915696443701,999
S1,2,news_mentions,7,,False,False,0.009102952396678748,0.7702181418436995,993
S1,2,news_mentions,14,,False,False,-0.017513463518655285,0.5726564334343567,986
S1,2,news_mentions,30,,False,False,-0.019960933339241812,0.5597417803444409,970
S1,2,news_mentions,60,,False,False,-0.02035118634065763,0.48947783470714734,940
S1,2,news_mentions,90,,False,False,-0.009119973546245438,0.7571138977798926,910
S1,3,news_mentions,1,,False,False,-0.036115943237337335,0.2565773420457105,999
S1,3,news_mentions,7,,False,False,-0.03042021200698329,0.3357451027677818,993
S1,3,news_mentions,14,,False,False,0.052662399249322936,0.09114658903428685,986
S1,3,news_mentions,30,,False,False,0.002815467632193439,0.9248119627567077,970
S1,3,news_mentions,60,,False,False,-0.05751497743228827,0.06724542161894953,940
S1,3,news_mentions,90,,False,False,0.012910763659523296,0.7138638607659327,910
S1,4,news_mentions,1,,False,False,0.06434026958772221,0.04835434740779476,999
S1,4,news_mentions,7,,False,False,-0.004631434368844181,0.8914317856666614,993
S1,4,news_mentions,14,,False,False,-0.028039063467723835,0.37701724752860866,986
S1,4,news_mentions,30,,False,False,0.029132349150884026,0.39271294639309384,970
S1,4,news_mentions,60,,False,False,-0.009604412607335393,0.7617730188571656,940
S1,4,news_mentions,90,,False,False,-0.0317968489331804,0.37565466406481507,910
S1,5,news_mentions,1,,False,False,-0.017851553004982746,0.5730152130569022,999
S1,5,news_mentions,7,,False,False,0.029019691838271487,0.3323984194593528,993
S1,5,news_mentions,14,,False,False,0.0030675477657448142,0.9228522478889829,986
S1,5,news_mentions,30,,False,False,0.07244932390493165,0.022343394538467898,970
S1,5,news_mentions,60,,False,False,-0.0034511504096886286,0.9080187303659271,940
S1,5,news_mentions,90,,False,False,0.02924898670011119,0.35114347474591767,910
S1,6,news_mentions,1,,False,False,0.031561781756893684,0.3187485207852374,999
S1,6,news_mentions,7,,False,False,0.0074541645947714934,0.823985070462165,993
S1,6,news_mentions,14,,False,False,-0.035239443064898034,0.2953913488893405,986
S1,6,news_mentions,30,,False,False,0.029668586017075647,0.345355351794008,970
S1,6,news_mentions,60,,False,False,-0.08246606903731929,0.006936298340552094,940
S1,6,news_mentions,90,,False,False,-0.004799726618265414,0.8839835973503538,910
S1,7,news_mentions,1,,False,False,-0.00510933473879304,0.8704943762803172,999
S1,7,news_mentions,7,,False,False,-0.021159363102680417,0.4709260707373635,993
S1,7,news_mentions,14,,False,False,0.015679920197054845,0.6370246953489072,986
S1,7,news_mentions,30,,False,False,-0.010674687239093485,0.7360439966027719,970
S1,7,news_mentions,60,,False,False,0.03422756173739566,0.35898829206277316,940
S1,7,news_mentions,90,,False,False,-0.010175256106449265,0.772294525710062,910
S1,8,news_mentions,1,,False,False,0.007409987482003095,0.8068833776338387,999
S1,8,news_mentions,7,,False,False,0.03996588996175209,0.24218380831116093,993
S1,8,news_mentions,14,,False,False,0.014145270883740286,0.6603433612375165,986
S1,8,news_mentions,30,,False,False,0.07291448460434126,0.019248933366537546,970
S1,8,news_mentions,60,,False,False,0.019723885543634464,0.5259237832027228,940
S1,8,news_mentions,90,,False,False,0.02254127928503173,0.4949290194102134,910
S1,9,news_mentions,1,,False,False,0.005757596846431533,0.8600602889412936,999
S1,9,news_mentions,7,,False,False,-0.006066095940822305,0.847535241764346,993
S1,9,news_mentions,14,,False,False,-0.049698141238038326,0.1016161448903139,986
S1,9,news_mentions,30,,False,False,0.03426012971615648,0.2986408423038933,970
S1,9,news_mentions,60,,False,False,-0.019412021661303045,0.5119074985433096,940
S1,9,news_mentions,90,,False,False,0.0003110286015735977,0.9926641869670343,910
S1,10,news_mentions,1,,False,False,0.06371299025601611,0.061713803643558274,999
S1,10,news_mentions,7,,False,False,-0.058177669511501995,0.05231175361235074,993
S1,10,news_mentions,14,,False,False,-0.005279946063315991,0.8775826430140865,986
S1,10,news_mentions,30,,False,False,0.02002234845458833,0.486679181795725,970
S1,10,news_mentions,60,,False,False,-0.030790521603865986,0.3195140401334271,940
S1,10,news_mentions,90,,False,False,-0.010967166597435246,0.7173753645306886,910
S1,11,news_mentions,1,,False,False,-0.0029540697915916188,0.9272660149477259,999
S1,11,news_mentions,7,,False,False,-0.05845014946693467,0.08159152309674589,993
S1,11,news_mentions,14,,False,False,0.0433743685000432,0.18749707924266157,986
S1,11,news_mentions,30,,False,False,0.025195279847874532,0.40521305113343176,970
S1,11,news_mentions,60,,False,False,0.0737228047809086,0.033859150559037765,940
S1,11,news_mentions,90,,False,False,-0.003992022213196847,0.9090746778814389,910
S1,12,news_mentions,1,,False,False,-0.006613786685172027,0.8204789807414969,999
S1,12,news_mentions,7,,False,False,0.02746673299728802,0.3480264407479239,993
S1,12,news_mentions,14,,False,False,-0.014829002024194897,0.6517822406500962,986
S1,12,news_mentions,30,,False,False,-0.00017964893255084029,0.9956127081032244,970
S1,12,news_mentions,60,,False,False,0.005067131756876705,0.8830927465284415,940
S1,12,news_mentions,90,,False,False,-0.06076537187812046,0.06566406903723698,910
S1,13,news_mentions,1,,False,False,-0.026398617121989876,0.41012736280633644,999
S1,13,news_mentions,7,,False,False,0.044387564236638186,0.15522206772366332,993
S1,13,news_mentions,14,,False,False,-0.013125135499627457,0.680280367062509,986
S1,13,news_mentions,30,,False,False,0.04949005613916426,0.11049946882622019,970
S1,13,news_mentions,60,,False,False,0.006033556503628331,0.8388945849327425,940
S1,13,news_mentions,90,,False,False,-0.00849246439845667,0.787086466851243,910
S1,14,news_mentions,1,,False,False,0.0014562067334258802,0.9640342404346784,999
S1,14,news_mentions,7,,False,False,0.027584045727847086,0.3953340060248449,993
S1,14,news_mentions,14,,False,False,0.005382003100962996,0.8677207002635092,986
S1,14,news_mentions,30,,False,False,0.034356176978497584,0.29264510784431796,970
S1,14,news_mentions,60,,False,False,-0.038874835982450874,0.21847432013126133,940
S1,14,news_mentions,90,,False,False,-0.018795870371292864,0.5708236369676589,910
S1,15,news_mentions,1,,False,False,0.004454626889913356,0.8945272018571666,999
S1,15,news_mentions,7,,False,False,-0.02764932652285871,0.4085734132936407,993
S1,15,news_mentions,14,,False,False,0.007176825739057348,0.8330956098088051,986
S1,15,news_mentions,30,,False,False,-0.008989362315830201,0.7986655394416182,970
S1,15,news_mentions,60,,False,False,-0.028302026998248103,0.3805021779917923,940
S1,15,news_mentions,90,,False,False,0.027639229321965244,0.39362396203669414,910
S1,16,news_mentions,1,,False,False,0.011095951270841297,0.7416002887706181,999
S1,16,news_mentions,7,,False,False,0.0538834175822885,0.08901954669486423,993
S1,16,news_mentions,14,,False,False,0.035532011436025114,0.2630726921869837,986
S1,16,news_mentions,30,,False,False,0.008772244318350905,0.7721008292376186,970
S1,16,news_mentions,60,,False,False,-0.04837226094120563,0.11179328849667147,940
S1,16,news_mentions,90,,False,False,-0.005375166118149521,0.8566997678695394,910
S1,17,news_mentions,1,,False,False,-0.012960692771477274,0.6551629789823141,999
S1,17,news_mentions,7,,False,False,0.01729868457089208,0.6154668515273176,993
S1,17,news_mentions,14,,False,False,-0.024301910782929627,0.41784936868959566,986
S1,17,news_mentions,30,,False,False,-0.04394986949409243,0.17588375426161384,970
S1,17,news_mentions,60,,False,False,-0.00939008946521349,0.7631181814615273,940
S1,17,news_mentions,90,,False,False,-0.058604040671115916,0.06347723728266197,910
S1,18,news_mentions,1,,False,False,0.024439857715643547,0.4461940585276405,999
S1,18,news_mentions,7,,False,False,-0.014076793184869419,0.6359276983684863,993
S1,18,news_mentions,14,,False,False,0.020337222680184678,0.5142828686547034,986
S1,18,news_mentions,30,,False,False,0.0612946538045163,0.048727949531025105,970
S1,18,news_mentions,60,,False,False,-0.01785402825375145,0.5521439981746947,940
S1,18,news_mentions,90,,False,False,0.02408352838928842,0.4896849326739865,910
S1,19,news_mentions,1,,False,False,-0.010096240156676069,0.7580619222779401,999
S1,19,news_mentions,7,,False,False,0.022636291424291057,0.48134024804705144,993
S1,19,news_mentions,14,,False,False,0.005136588669000296,0.8713642170299878,986
S1,19,news_mentions,30,,False,False,0.012735782749315286,0.7000564100243314,970
S1,19,news_mentions,60,,False,False,0.02339674354106617,0.4702831702929178,940
S1,19,news_mentions,90,,False,False,-0.00607804777719387,0.8637049045817815,910
S1,20,news_mentions,1,,False,False,-0.01064713337558964,0.7255791002775087,999
S1,20,news_mentions,7,,False,False,0.07245255759297328,0.024961249815583786,993
S1,20,news_mentions,14,,False,False,-0.013639320099388124,0.6458726020192267,986
S1,20,news_mentions,30,,False,False,0.0696709497599181,0.03118819810728768,970
S1,20,news_mentions,60,,False,False,-0.0348128442181107,0.2982873913677808,940
S1,20,news_mentions,90,,False,False,-0.007014812560076745,0.8344253499673542,910
S1,21,news_mentions,1,,False,False,-0.05253145987300744,0.10624679594642683,999
S1,21,news_mentions,7,,False,False,-0.022525252432383864,0.509925651299413,993
S1,21,news_mentions,14,,False,False,0.024932203241937713,0.4101716530820956,986
S1,21,news_mentions,30,,False,False,0.02898529839074312,0.3574974147339387,970
S1,21,news_mentions,60,,False,False,-0.02019928904012941,0.5096547940581346,940
S1,21,news_mentions,90,,False,False,-0.04172691146010194,0.2130357954293769,910
S1,22,news_mentions,1,,False,False,0.02013403412417225,0.5128271948819829,999
S1,22,news_mentions,7,,False,False,-0.05427071324613169,0.07241179685244448,993
S1,22,news_mentions,14,,False,False,-0.024808194973721824,0.4396184899620481,986
S1,22,news_mentions,30,,False,False,-0.05130322881338971,0.13132394085829313,970
S1,22,news_mentions,60,,False,False,-0.015896217393585415,0.6242866807230398,940
S1,22,news_mentions,90,,False,False,-0.04242345511678933,0.22580408388113504,910
S1,23,news_mentions,1,,False,False,-0.024695829283509357,0.4088330972844407,999
S1,23,news_mentions,7,,False,False,-0.019972761244858122,0.5358888746290318,993
S1,23,news_mentions,14,,False,False,-0.01113125076166482,0.7345264848805648,986
S1,23,news_mentions,30,,False,False,-0.011988034680983715,0.7019030995781135,970
S1,23,news_mentions,60,,False,False,0.016775146369350524,0.5915722314328065,940
S1,23,news_mentions,90,,False,False,-0.0005207342124997759,0.9884605253471421,910
S1,24,news_mentions,1,,False,False,-0.004854539636793815,0.8822188749848447,999
S1,24,news_mentions,7,,False,False,0.0068279992418624575,0.8371347388805841,993
S1,24,news_mentions,14,,False,False,-0.028567411471702383,0.3789770311991445,986
S1,24,news_mentions,30,,False,False,-0.016301063494164984,0.6013753513461704,970
S1,24,news_mentions,60,,False,False,0.03232028448150044,0.2912502249937905,940
S1,24,news_mentions,90,,False,False,0.02622943359865452,0.44527066696175854,910
S1,25,news_mentions,1,,False,False,0.003877071031910459,0.9064434413279228,999
S1,25,news_mentions,7,,False,False,-0.02588614987963773,0.4230238633685981,993
S1,25,news_mentions,14,,False,False,-0.001370859400456404,0.9665363680451202,986
S1,25,news_mentions,30,,False,False,0.02745644352283525,0.39285619726523535,970
S1,25,news_mentions,60,,False,False,-0.002496641847279179,0.9412246172291896,940
S1,25,news_mentions,90,,False,False,-0.041575119794242985,0.2567436256958846,910
S1,26,news_mentions,1,,False,False,-0.02460386926533594,0.4377193453786541,999
S1,26,news_mentions,7,,False,False,0.0037272362298774397,0.9072610649142927,993
S1,26,news_mentions,14,,False,False,0.000938420184674822,0.9797120552760537,986
S1,26,news_mentions,30,,False,False,-0.021330813278429128,0.49555683749031765,970
S1,26,news_mentions,60,,False,False,0.007403358504030627,0.8023840079252058,940
S1,26,news_mentions,90,,False,False,0.006288190066533885,0.8516615553090077,910
S1,27,news_mentions,1,,False,False,-0.019185507621744095,0.5001760624442539,999
