dataset,seed,news_field,lag,regime_filter,is_true_signal,confirmed,score,p_value,n
S1,0,news_mentions,1,,False,False,-0.001172346133639732,0.1679562050275769,80
S1,0,news_mentions,7,,False,False,0.00026545921133132983,0.8140208703015634,80
S1,0,news_mentions,14,,False,False,-0.0006021628119460939,0.5789658374080355,78
S1,0,news_mentions,30,,False,False,0.0009407540445867831,0.32631353595385315,77
S1,0,news_mentions,60,,False,False,0.0022437231003056787,0.12841199067797038,73
S1,0,news_mentions,90,,False,False,0.0012056142298290014,0.4471873415228056,72
S1,1,news_mentions,1,,False,False,0.000486140894918142,0.6945989350428681,72
S1,1,news_mentions,7,,False,False,0.0006799576769696206,0.6233521866430989,72
S1,1,news_mentions,14,,False,False,0.0020876912895025326,0.028919202485527817,71
S1,1,news_mentions,30,,False,False,0.0013238496217143855,0.32132670155052523,70
S1,1,news_mentions,60,,False,False,0.000349231391317044,0.7712656949075851,70
S1,1,news_mentions,90,,False,False,0.0008607276273308251,0.4233278846240751,67
S1,2,news_mentions,1,,False,False,0.001657403989041283,0.18895041927899925,74
S1,2,news_mentions,7,,False,False,0.00023579742252371173,0.8277038584682384,74
S1,2,news_mentions,14,,False,False,0.0012542053763341513,0.27362514890426937,72
S1,2,news_mentions,30,,False,False,0.00014884656972532768,0.886933473985585,71
S1,2,news_mentions,60,,False,False,-0.00011059551626212957,0.9103143531019362,67
S1,2,news_mentions,90,,False,False,0.00015816896784270342,0.8861897514634911,65
S1,3,news_mentions,1,,False,False,-0.002116294708622484,0.05387424183808087,80
S1,3,news_mentions,7,,False,False,-0.0008403794973608361,0.5018507939794836,79
S1,3,news_mentions,14,,False,False,0.0014193616711443648,0.2967874016363692,79
S1,3,news_mentions,30,,False,False,0.0002574994426067908,0.8608481528024248,79
S1,3,news_mentions,60,,False,False,-0.0009774253144739945,0.2958873757634437,79
S1,3,news_mentions,90,,False,False,0.00021065711119773095,0.8562747234383594,79
S1,4,news_mentions,1,,False,False,0.0005642023958673337,0.6346367396106749,85
S1,4,news_mentions,7,,False,False,-0.000771794083305202,0.5021466503485943,84
S1,4,news_mentions,14,,False,False,-0.0008197598038368331,0.45481875063881194,83
S1,4,news_mentions,30,,False,False,0.0016500980555302803,0.10297542087773293,79
S1,4,news_mentions,60,,False,False,-0.0009542109500305224,0.35675104106082345,77
S1,4,news_mentions,90,,False,False,-0.00011535659868416032,0.9211038626921699,76
S1,5,news_mentions,1,,False,False,0.0017501164244354932,0.06739144357318327,83
S1,5,news_mentions,7,,False,False,-0.00046575504783956964,0.6253991259612,83
S1,5,news_mentions,14,,False,False,-0.001179121058520984,0.31792341812288694,83
S1,5,news_mentions,30,,False,False,0.0018258930029894777,0.07874263908342072,83
S1,5,news_mentions,60,,False,False,0.0009148975498065087,0.32156774549222344,81
S1,5,news_mentions,90,,False,False,0.0002974665231566106,0.7755433670489149,79
S1,6,news_mentions,1,,False,False,0.0009511910886154039,0.4241500780883556,72
S1,6,news_mentions,7,,False,False,0.0005182808775769806,0.6253551742279599,72
S1,6,news_mentions,14,,False,False,-0.002027072548892413,0.11463805386708392,72
S1,6,news_mentions,30,,False,False,0.0016482797714981868,0.04438025346303198,71
S1,6,news_mentions,60,,False,False,-0.0014374069145544786,0.2536725533312212,68
S1,6,news_mentions,90,,False,False,0.00092383499320949,0.4416949447658898,68
S1,7,news_mentions,1,,False,False,-0.00040856386630049263,0.6398951910455275,83
S1,7,news_mentions,7,,False,False,-0.0010304692871145025,0.2854293757218871,82
S1,7,news_mentions,14,,False,False,6.336838334550693e-05,0.9593815593363431,80
S1,7,news_mentions,30,,False,False,0.0005688821457742345,0.6192052497508191,79
S1,7,news_mentions,60,,False,False,-2.677308755979097e-05,0.9826626449406504,79
S1,7,news_mentions,90,,False,False,-9.805348240599868e-06,0.9936360713036398,76
S1,8,news_mentions,1,,False,False,0.0015221740601296758,0.0971542431358845,64
S1,8,news_mentions,7,,False,False,0.0025685713198058914,0.016884050402377282,64
S1,8,news_mentions,14,,False,False,0.0023872811732688036,0.044138081649208294,64
S1,8,news_mentions,30,,False,True,0.002843543559518578,0.005266902684434305,64
S1,8,news_mentions,60,,False,False,0.00040262681473905075,0.7145988500078011,62
S1,8,news_mentions,90,,False,False,0.0004636449282728866,0.6135492333770725,61
S1,9,news_mentions,1,,False,False,-0.00014937812154576104,0.9014647611468702,66
S1,9,news_mentions,7,,False,False,-0.0018441805401061444,0.15292932423651173,66
S1,9,news_mentions,14,,False,False,-0.0020088207349510533,0.09402596510047267,66
S1,9,news_mentions,30,,False,False,0.0017794646361586992,0.16319942606892224,65
S1,9,news_mentions,60,,False,True,-0.0029047705357384173,0.009195948338777571,65
S1,9,news_mentions,90,,False,False,-0.000655912732861232,0.6113132314618177,61
S1,10,news_mentions,1,,False,False,0.0019290191823277915,0.11604999175512587,84
S1,10,news_mentions,7,,False,False,-0.0002392333018617826,0.8273906209982338,82
S1,10,news_mentions,14,,False,False,-0.0011377741995615297,0.27200798014501726,82
S1,10,news_mentions,30,,False,False,-0.0005420914974038093,0.5690141002499993,82
S1,10,news_mentions,60,,False,False,-0.0017567489526405886,0.1160476918248492,82
S1,10,news_mentions,90,,False,False,-0.0006155022651530848,0.4918919743577246,77
S1,11,news_mentions,1,,False,False,-2.459157451153373e-05,0.9851855597184345,70
S1,11,news_mentions,7,,False,False,-0.0006058058516896786,0.6267312014718232,70
S1,11,news_mentions,14,,False,False,0.00024208919539398633,0.8743520564750193,70
S1,11,news_mentions,30,,False,False,0.00041325337617348346,0.7782678490356585,69
S1,11,news_mentions,60,,False,False,0.002245149348040324,0.05981732949859486,67
S1,11,news_mentions,90,,False,False,0.0008944017890456492,0.518239409270087,61
S1,12,news_mentions,1,,False,False,-0.0006044385566497737,0.5862817253674697,70
S1,12,news_mentions,7,,False,False,-0.00015913789499940258,0.874397096569814,69
S1,12,news_mentions,14,,False,False,0.0018128091055049976,0.05296731928294318,69
S1,12,news_mentions,30,,False,False,0.00020284948029630247,0.872528353416266,68
S1,12,news_mentions,60,,False,False,-0.00040365289327703904,0.7662726124091823,67
S1,12,news_mentions,90,,False,False,-0.0011467434245131408,0.38068074141956987,63
S1,13,news_mentions,1,,False,False,0.0016483378244127821,0.21966284086929888,74
S1,13,news_mentions,7,,False,False,0.0014486581684926832,0.2044972794144242,73
S1,13,news_mentions,14,,False,False,0.0003437170649313122,0.7341801342505863,73
S1,13,news_mentions,30,,False,False,0.00037882221692531355,0.7626302332780179,72
S1,13,news_mentions,60,,False,False,0.0020422718537531637,0.1376861906343787,69
S1,13,news_mentions,90,,False,False,0.00031754577019988035,0.7853013978599059,67
S1,14,news_mentions,1,,False,False,-0.0001221212042488934,0.8901997045174896,77
S1,14,news_mentions,7,,False,False,0.0021801912265901205,0.09946747357413654,77
S1,14,news_mentions,14,,False,False,0.0016507060174627644,0.13735219211952576,76
S1,14,news_mentions,30,,False,False,-0.00037594788393707985,0.7578919208407264,75
S1,14,news_mentions,60,,False,False,-0.002506920859019003,0.025503308540364644,72
S1,14,news_mentions,90,,False,False,1.50694980911794e-05,0.9891825237645864,69
S1,15,news_mentions,1,,False,False,-0.0007923241896724359,0.472812082662025,77
S1,15,news_mentions,7,,False,False,-0.0014962139503714542,0.2056077396011784,77
S1,15,news_mentions,14,,False,False,0.00028610349415601885,0.7678411180929128,77
S1,15,news_mentions,30,,False,False,-0.00022705592023101076,0.8650068964139837,77
S1,15,news_mentions,60,,False,False,-0.0004218523781225076,0.6507872919853146,75
S1,15,news_mentions,90,,False,False,-0.00044977976402848857,0.6869570266075331,74
S1,16,news_mentions,1,,False,False,-0.002200954996171262,0.13443574803791614,67
S1,16,news_mentions,7,,False,False,-0.0009260099311529815,0.38603453167420065,67
S1,16,news_mentions,14,,False,False,-0.001308217566390992,0.29534238568581106,66
S1,16,news_mentions,30,,False,False,-0.0010795685654097229,0.4997669678523371,63
S1,16,news_mentions,60,,False,False,-0.0003707601917080651,0.7115964302255224,60
S1,16,news_mentions,90,,False,False,0.0006611471861584776,0.5905742604246602,58
S1,17,news_mentions,1,,False,False,0.00045382405992110684,0.6585452044470776,66
S1,17,news_mentions,7,,False,False,0.002480732939959868,0.053506663370035845,66
S1,17,news_mentions,14,,False,False,-0.0005149801213530397,0.6812204933635124,65
S1,17,news_mentions,30,,False,False,-0.0009633959897974314,0.5348407338491439,63
S1,17,news_mentions,60,,False,False,0.0002376335115425619,0.8344676981260131,63
S1,17,news_mentions,90,,False,False,-0.0027116243161923446,0.05536767705200951,59
S1,18,news_mentions,1,,False,False,0.002570698483923184,0.023848619489021505,78
S1,18,news_mentions,7,,False,False,0.0007740952268188377,0.4567368545280841,77
S1,18,news_mentions,14,,False,False,0.0005370305886751237,0.6284477694742217,76
S1,18,news_mentions,30,,False,False,0.0003286907550515073,0.7805096494134178,75
S1,18,news_mentions,60,,False,False,7.151552311266944e-07,0.9995031338002209,75
S1,18,news_mentions,90,,False,False,0.0002660072882969568,0.8361956441642531,73
S1,19,news_mentions,1,,False,False,-2.5800453822638998e-05,0.979448768418139,68
S1,19,news_mentions,7,,False,False,0.0024611072617213747,0.023461158336334886,67
S1,19,news_mentions,14,,False,False,-0.0002733668841914506,0.8377255492645332,66
S1,19,news_mentions,30,,False,False,-0.0018779812426063859,0.13341090307633552,63
S1,19,news_mentions,60,,False,False,-0.0002138138758739067,0.8206425652602767,62
S1,19,news_mentions,90,,False,False,-0.0005338415584637987,0.7082412644478675,61
S1,20,news_mentions,1,,False,False,0.00031296054377158726,0.7559200121275234,84
S1,20,news_mentions,7,,False,False,0.002230833086628587,0.030108209102873706,84
S1,20,news_mentions,14,,False,False,-0.001908555757081653,0.11497007045276209,83
S1,20,news_mentions,30,,False,False,0.0018652090011109402,0.06400024147430683,83
S1,20,news_mentions,60,,False,False,-0.0006626578506557262,0.5448588540547779,81
S1,20,news_mentions,90,,False,False,-0.0005870668860391689,0.5595895846087795,79
S1,21,news_mentions,1,,False,False,-0.0014596761028563608,0.1717931606625136,77
S1,21,news_mentions,7,,False,False,0.00080885208665684,0.3391467841006033,77
S1,21,news_mentions,14,,False,False,0.0009465615698763755,0.39218709339219004,76
S1,21,news_mentions,30,,False,False,0.0022771739589556392,0.042344111856490896,76
S1,21,news_mentions,60,,False,False,-0.0012377146928347642,0.15529574981937166,71
S1,21,news_mentions,90,,False,False,-0.0010870269224086346,0.2579305224595345,68
S1,22,news_mentions,1,,False,False,0.001114111838450258,0.23131583504758502,80
S1,22,news_mentions,7,,False,False,-0.001733760826323426,0.1440481036959551,80
S1,22,news_mentions,14,,False,False,-0.0008969789422109567,0.38089479278746796,80
S1,22,news_mentions,30,,False,False,7.993155452602039e-05,0.9540740426708305,76
S1,22,news_mentions,60,,False,False,0.000931170875011769,0.47458667453480174,72
S1,22,news_mentions,90,,False,False,0.0007636228065643822,0.5181870935555879,70
S1,23,news_mentions,1,,False,False,0.0009101943970325219,0.38590334975238894,72
S1,23,news_mentions,7,,False,False,4.440940236889222e-05,0.9720171136687936,70
S1,23,news_mentions,14,,False,False,0.001599210184552661,0.2254681981250346,70
S1,23,news_mentions,30,,False,False,-0.00041201752018078797,0.7707222086456076,70
S1,23,news_mentions,60,,False,False,-0.00024000143763319,0.8187059401308923,67
S1,23,news_mentions,90,,False,False,0.000283867900707806,0.794836840269564,65
S1,24,news_mentions,1,,False,False,-0.0008602018853705324,0.4098227177835987,83
S1,24,news_mentions,7,,False,False,-0.0007609616220876667,0.43272373052051094,82
S1,24,news_mentions,14,,False,False,-2.571455656752496e-05,0.9811122876231735,82
S1,24,news_mentions,30,,False,False,-0.0007934125993698185,0.4412105055469715,82
S1,24,news_mentions,60,,False,False,0.0005237235664239442,0.6463177014544719,81
S1,24,news_mentions,90,,False,False,0.00012191434627455068,0.897331474809389,80
S1,25,news_mentions,1,,False,False,0.0002997602406387773,0.7834556218798889,84
S1,25,news_mentions,7,,False,False,-0.0013155718484160741,0.27470768883595165,84
S1,25,news_mentions,14,,False,False,2.5475923806657144e-05,0.9813153424853223,84
S1,25,news_mentions,30,,False,False,0.0006709372684251395,0.5839078733623446,84
S1,25,news_mentions,60,,False,False,-0.0009590426666944881,0.49327550163496414,79
S1,25,news_mentions,90,,False,False,0.0005957304868738157,0.638261273732744,75
S1,26,news_mentions,1,,False,False,0.00015080577074981258,0.868788255268722,83
S1,26,news_mentions,7,,False,False,3.445497469714055e-06,0.9974695402151388,82
S1,26,news_mentions,14,,False,False,9.203523581540515e-05,0.9422997404851714,82
S1,26,news_mentions,30,,False,False,-0.0016080176711360326,0.22169745661419937,81
S1,26,news_mentions,60,,False,False,0.0017261270229184111,0.09550208908973978,77
S1,26,news_mentions,90,,False,False,0.0011397290344948954,0.30952929479004654,74
S1,27,news_mentions,1,,False,False,0.0002591749734898899,0.806856461923668,70
S1,27,news_mentions,7,,False,False,0.001780735863736723,0.10328966373384363,70
S1,27,news_mentions,14,,False,False,-0.0007303572654722701,0.5284707562923194,69
S1,27,news_mentions,30,,False,False,0.000707582588367893,0.6039974557485757,69
S1,27,news_mentions,60,,False,False,-0.00032632808599046705,0.7388657001639158,66
S1,27,news_mentions,90,,False,False,0.0009062418826676624,0.37564062883614335,64
S1,28,news_mentions,1,,False,False,0.0005823827851689391,0.5772915014628768,79
S1,28,news_mentions,7,,False,False,0.0009888667866524274,0.32243718978622815,79
S1,28,news_mentions,14,,False,False,-0.00020204574657506623,0.8438196605969925,78
S1,28,news_mentions,30,,False,False,-0.00023570058496700917,0.8687623453575211,78
S1,28,news_mentions,60,,False,False,0.0007683168101781372,0.45291858300081467,74
S1,28,news_mentions,90,,False,False,0.00012298802872386875,0.9291166138322267,72
S1,29,news_mentions,1,,False,False,-0.0006349510079727756,0.5918549078736373,82
S1,29,news_mentions,7,,False,False,0.00029069967607607127,0.7574035610030165,82
S1,29,news_mentions,14,,False,False,-0.00018348908981256844,0.860534283053279,81
S1,29,news_mentions,30,,False,False,-0.0008655714511087907,0.4303032914203202,81
S1,29,news_mentions,60,,False,False,-0.00022343592107319077,0.8834545921600185,80
S1,29,news_mentions,90,,False,False,-0.0018265789003230044,0.1176725793296638,78
S1,30,news_mentions,1,,False,False,0.0005106557161224763,0.6318648294698597,87
S1,30,news_mentions,7,,False,False,0.0010051483214778558,0.4267482738725159,86
S1,30,news_mentions,14,,False,False,-0.0014615440306076938,0.21339542796862743,85
S1,30,news_mentions,30,,False,False,0.0002649233929224944,0.8021719947120727,82
S1,30,news_mentions,60,,False,False,0.000888180498026669,0.42387305115219975,79
S1,30,news_mentions,90,,False,False,-8.282023521388302e-05,0.9434437373105928,78
S1,31,news_mentions,1,,False,False,0.00028283698272919453,0.8286011593520906,49
S1,31,news_mentions,7,,False,False,0.001991394079134377,0.1389810071970261,48
S1,31,news_mentions,14,,False,False,0.0028509572552045523,0.014513584950775149,46
S1,31,news_mentions,30,,False,False,0.00019357300491167594,0.890678136454691,45
S1,31,news_mentions,60,,False,False,0.0008743198432858469,0.4588176175298848,43
S1,31,news_mentions,90,,False,False,-0.0010801317920883628,0.4883626021233276,42
S1,32,news_mentions,1,,False,False,-0.0017716962801835464,0.10500324164805774,83
S1,32,news_mentions,7,,False,False,0.001190413673524531,0.16005222700354893,82
S1,32,news_mentions,14,,False,False,0.00028689711981206114,0.7918283961753518,80
S1,32,news_mentions,30,,False,False,-0.0005899368444511637,0.4441039105663942,80
S1,32,news_mentions,60,,False,True,0.002734188381685916,0.0050113108330007705,76
S1,32,news_mentions,90,,False,False,0.00011863947595283728,0.9074016506194278,74
S1,33,news_mentions,1,,False,False,0.00012559775181955886,0.9003915876468627,81
S1,33,news_mentions,7,,False,False,-0.0010487187983651367,0.3060374160192514,81
S1,33,news_mentions,14,,False,False,0.00019001278341351023,0.8634834294211675,81
S1,33,news_mentions,30,,False,False,0.0005344234939734165,0.5767662506159015,80
S1,33,news_mentions,60,,False,False,-0.0001645208525269774,0.8742132450780744,79
S1,33,news_mentions,90,,False,False,-0.000423099930120902,0.6319712362645264,79
S1,34,news_mentions,1,,False,False,-0.0021613274835260558,0.010702160513802683,86
S1,34,news_mentions,7,,False,False,0.0005888145950340315,0.497337154438128,85
S1,34,news_mentions,14,,False,False,-0.0015425726648867464,0.1574735907794793,84
S1,34,news_mentions,30,,False,False,-0.0005547296377896282,0.5482469261776397,84
S1,34,news_mentions,60,,False,False,0.0013964385000244843,0.18899243133809818,80
S1,34,news_mentions,90,,False,False,1.4840680535277016e-05,0.989353019923279,78
S1,35,news_mentions,1,,False,False,-0.0018809602399002651,0.03399861132391657,71
S1,35,news_mentions,7,,False,False,0.00014380509673079226,0.9057909242749593,71
S1,35,news_mentions,14,,False,False,0.001516707312217161,0.14226155555757924,69
S1,35,news_mentions,30,,False,False,0.0007300847464823517,0.5281084453817235,69
S1,35,news_mentions,60,,False,False,-0.0018067176187866597,0.14967509156095726,68
S1,35,news_mentions,90,,False,False,0.00038303539296842944,0.7197650136272602,67
S1,36,news_mentions,1,,False,False,-0.0007904838497003775,0.393802046122234,65
S1,36,news_mentions,7,,False,False,-0.0025467106086157175,0.048969857029495856,64
S1,36,news_mentions,14,,False,False,-0.0002584556776675936,0.8097508463294327,64
S1,36,news_mentions,30,,False,False,-0.0010658210996618434,0.37202445687257435,62
S1,36,news_mentions,60,,False,False,-0.001213661192881024,0.25678750125969163,59
S1,36,news_mentions,90,,False,False,0.0002990215580357143,0.8287453875845538,56
S1,37,news_mentions,1,,False,False,-0.001459048608834377,0.20482756239677902,63
S1,37,news_mentions,7,,False,True,-0.0037671970685679824,0.0011863179725326578,63
S1,37,news_mentions,14,,False,False,0.0019175920392166517,0.1366176764309932,63
S1,37,news_mentions,30,,False,False,0.00028320916043107736,0.8339937874164378,61
S1,37,news_mentions,60,,False,False,-0.0009414373019502339,0.6015174246982928,58
S1,37,news_mentions,90,,False,True,-0.0033197195590418858,0.007821395047549196,55
S1,38,news_mentions,1,,False,False,0.000990032344692338,0.3624759310138099,83
S1,38,news_mentions,7,,False,False,0.00017266331698694503,0.8705087678618435,83
S1,38,news_mentions,14,,False,False,0.0009066906568583965,0.4229144367321471,83
S1,38,news_mentions,30,,False,False,0.0013411984065825689,0.2160753275786782,81
S1,38,news_mentions,60,,False,False,-0.00016375048195255848,0.8931883907147726,78
S1,38,news_mentions,90,,False,False,0.0008523890150504091,0.5209044261633919,74
S1,39,news_mentions,1,,False,False,0.0013748469038468427,0.23810132127823058,66
S1,39,news_mentions,7,,False,False,-0.0012464641844057676,0.17011701386087053,66
S1,39,news_mentions,14,,False,False,0.00043201636198550246,0.7486907565790106,66
S1,39,news_mentions,30,,False,False,-0.00014868053624163366,0.8892942452951262,66
S1,39,news_mentions,60,,False,False,0.00041747031559068924,0.7234144930708246,62
S1,39,news_mentions,90,,False,True,-0.0032798522199622643,0.009356722305042364,59
S1,40,news_mentions,1,,False,False,-0.001364909878597548,0.23673986928987611,87
S1,40,news_mentions,7,,False,False,0.002176074633192442,0.023137672395069808,86
S1,40,news_mentions,14,,False,False,0.0013086193797045363,0.20440610659093594,85
S1,40,news_mentions,30,,False,False,-0.0008896754246063192,0.3979464726292026,84
S1,40,news_mentions,60,,False,False,-0.0005007467255844313,0.5431830085849723,81
S1,40,news_mentions,90,,False,False,0.0006838691024921531,0.45072442860904194,78
