dataset,seed,news_field,lag,regime_filter,is_true_signal,confirmed,score,p_value,n
S1,0,news_mentions,1,,False,False,0.00010080444563893543,0.7543060855432744,1000
S1,0,news_mentions,7,,False,False,-0.0002950262713796034,0.36326575329015287,1000
S1,0,news_mentions,14,,False,False,-0.00040632462424754646,0.2176455668977777,1000
S1,0,news_mentions,30,,False,False,0.00017341241648076008,0.611082973602781,1000
S1,0,news_mentions,60,,False,False,6.402026939918808e-06,0.8101592442516856,1000
S1,0,news_mentions,90,,False,False,-3.1836922395774063e-07,0.9590619380646794,1000
S1,1,news_mentions,1,,False,False,-0.0003465219913936697,0.2661531382791744,1000
S1,1,news_mentions,7,,False,False,6.594660456035232e-05,0.8338033986091491,1000
S1,1,news_mentions,14,,False,False,0.00041928631087378087,0.18912925724910945,1000
S1,1,news_mentions,30,,False,False,0.00031874491601362984,0.3316542523446946,1000
S1,1,news_mentions,60,,False,False,1.4323164011021715e-05,0.6453603705392759,1000
S1,1,news_mentions,90,,False,False,2.1287193031486533e-06,0.7971287759375711,1000
S1,2,news_mentions,1,,False,False,0.0006161213797423463,0.05789712167909733,1000
S1,2,news_mentions,7,,False,False,9.457629705000415e-05,0.7737252734754387,1000
S1,2,news_mentions,14,,False,False,-0.0001892549973823023,0.5711511702211081,1000
S1,2,news_mentions,30,,False,False,-0.00018435521682601844,0.5938012370202246,1000
S1,2,news_mentions,60,,False,False,-3.988675536743882e-05,0.29094084359275074,1000
S1,2,news_mentions,90,,False,False,1.1301832491500232e-05,0.3545346828529734,1000
S1,3,news_mentions,1,,False,False,-0.00037049663200955715,0.25474800408590537,1000
S1,3,news_mentions,7,,False,False,-0.00030860448886136803,0.3476530551667867,1000
S1,3,news_mentions,14,,False,False,0.000539780869565666,0.10395697674216442,1000
S1,3,news_mentions,30,,False,False,2.0511392198680752e-05,0.9517014780243171,1000
S1,3,news_mentions,60,,False,False,-2.0625410820210217e-05,0.5627515226450781,1000
S1,3,news_mentions,90,,False,False,1.136804469574486e-06,0.9030697839771349,1000
S1,4,news_mentions,1,,False,False,0.0006381506503797854,0.041694746784988634,1000
S1,4,news_mentions,7,,False,False,-5.758897327457153e-05,0.8544838084268345,1000
S1,4,news_mentions,14,,False,False,-0.0002399749129083975,0.4490169151661507,1000
S1,4,news_mentions,30,,False,False,0.00027320850607480754,0.40414926706716625,1000
S1,4,news_mentions,60,,False,False,1.033028189920205e-05,0.7699451378025566,1000
S1,4,news_mentions,90,,False,False,-2.7647539111551116e-06,0.7600881100337471,1000
S1,5,news_mentions,1,,False,False,-0.00017898137768321596,0.5733370991303977,1000
S1,5,news_mentions,7,,False,False,0.0002939230287385524,0.3590513724338602,1000
S1,5,news_mentions,14,,False,False,3.4152321018403945e-05,0.915858861264351,1000
S1,5,news_mentions,30,,False,False,0.0007143804006976069,0.031156502052644086,1000
S1,5,news_mentions,60,,False,False,-2.6597006958598365e-06,0.948899908911512,1000
S1,5,news_mentions,90,,False,False,-1.3582389471453706e-07,0.9818924989896252,1000
S1,6,news_mentions,1,,False,False,0.00032193438761789694,0.3193798275787527,1000
S1,6,news_mentions,7,,False,False,8.074769843013377e-05,0.8042100486832462,1000
S1,6,news_mentions,14,,False,False,-0.0003429311956839021,0.29292442562914567,1000
S1,6,news_mentions,30,,False,False,0.00028370172586082763,0.39985338438721185,1000
S1,6,news_mentions,60,,False,False,6.64269256810995e-06,0.8234074511075227,1000
S1,6,news_mentions,90,,False,False,2.1932373755580925e-08,0.9969265786808215,1000
S1,7,news_mentions,1,,False,False,-5.096517172335564e-05,0.8714556243937002,1000
S1,7,news_mentions,7,,False,False,-0.00021075346743986028,0.5091023645035901,1000
S1,7,news_mentions,14,,False,False,0.0001704180654125315,0.5972943033912312,1000
S1,7,news_mentions,30,,False,False,-0.00010212358666605501,0.7593554146711403,1000
S1,7,news_mentions,60,,False,False,-2.9773200167781887e-05,0.3281799455826979,1000
S1,7,news_mentions,90,,False,False,-1.1488296119423151e-06,0.8359135225613554,1000
S1,8,news_mentions,1,,False,False,7.510531469528488e-05,0.8131689461750449,1000
S1,8,news_mentions,7,,False,False,0.00039708657803995303,0.21547708704412827,1000
S1,8,news_mentions,14,,False,False,0.00015305241924978597,0.6390595357943616,1000
S1,8,news_mentions,30,,False,False,0.0007583415173863094,0.024874428271410398,1000
S1,8,news_mentions,60,,False,False,7.37324357510269e-05,0.2056277052359894,1000
S1,8,news_mentions,90,,False,False,5.9189200672313826e-06,0.6123203706089437,1000
S1,9,news_mentions,1,,False,False,6.062493354024089e-05,0.85536392179886,1000
S1,9,news_mentions,7,,False,False,-6.795310989984346e-05,0.8397674654196605,1000
S1,9,news_mentions,14,,False,False,-0.0005031720226911677,0.13627040468616625,1000
S1,9,news_mentions,30,,False,False,0.00038260229293447345,0.27230656030915856,1000
S1,9,news_mentions,60,,False,False,-2.206973366984772e-05,0.5453925462193137,1000
S1,9,news_mentions,90,,False,False,2.7528955897982937e-06,0.7298004435686916,1000
S1,10,news_mentions,1,,False,False,0.0006368104745911164,0.04458868759200474,1000
S1,10,news_mentions,7,,False,False,-0.0005874722952313741,0.06717563837654428,1000
S1,10,news_mentions,14,,False,False,-3.490222302365248e-05,0.9146217200778903,1000
S1,10,news_mentions,30,,False,False,0.0002362643176551265,0.4787081942860376,1000
S1,10,news_mentions,60,,False,False,-2.2617129133176137e-06,0.9470773343518428,1000
S1,10,news_mentions,90,,False,False,-1.326618337840577e-07,0.9841899363694335,1000
S1,11,news_mentions,1,,False,False,-3.0494229900280833e-05,0.9243696938994359,1000
S1,11,news_mentions,7,,False,False,-0.0005896563422850121,0.06747631605251181,1000
S1,11,news_mentions,14,,False,False,0.0004370520979494472,0.18060022221723226,1000
S1,11,news_mentions,30,,False,False,0.00024775317254874544,0.4582520548624385,1000
S1,11,news_mentions,60,,False,False,1.3500089200679596e-05,0.7073855896416434,1000
S1,11,news_mentions,90,,False,False,-1.5749160924154458e-06,0.8474820760323389,1000
S1,12,news_mentions,1,,False,False,-6.575624353862258e-05,0.8346378953632423,1000
S1,12,news_mentions,7,,False,False,0.00028449709232438017,0.3722572012552763,1000
S1,12,news_mentions,14,,False,False,-0.00016157360382112202,0.6181417508339464,1000
S1,12,news_mentions,30,,False,False,-5.486627584396957e-06,0.9869072495172162,1000
S1,12,news_mentions,60,,False,False,-1.0909820971576135e-05,0.6690279947847837,1000
S1,12,news_mentions,90,,False,False,-2.0508408189608673e-07,0.968674200673922,1000
S1,13,news_mentions,1,,False,False,-0.00026860407905366507,0.4045759084796343,1000
S1,13,news_mentions,7,,False,False,0.0004477506144041358,0.16828977506331944,1000
S1,13,news_mentions,14,,False,False,-0.00013884476611691752,0.670656275521152,1000
S1,13,news_mentions,30,,False,False,0.0004970999182026423,0.14008142106376553,1000
S1,13,news_mentions,60,,False,False,2.885957694195191e-05,0.4838763466542291,1000
S1,13,news_mentions,90,,False,False,-1.5575499262261127e-06,0.8344418095883959,1000
S1,14,news_mentions,1,,False,False,1.5269410634026486e-05,0.9613263633833118,1000
S1,14,news_mentions,7,,False,False,0.00027394010459832037,0.38852489887201136,1000
S1,14,news_mentions,14,,False,False,6.630015566184721e-05,0.8368950568939968,1000
S1,14,news_mentions,30,,False,False,0.0003596797460778579,0.2769707241024273,1000
S1,14,news_mentions,60,,False,False,1.9416617309953563e-05,0.6265622590450524,1000
S1,14,news_mentions,90,,False,False,2.0407355591102796e-06,0.7709594382675962,1000
S1,15,news_mentions,1,,False,False,4.4005788095435465e-05,0.8886586494760143,1000
S1,15,news_mentions,7,,False,False,-0.00027796119628631144,0.38021658222898247,1000
S1,15,news_mentions,14,,False,False,6.434214989743557e-05,0.8402816004799742,1000
S1,15,news_mentions,30,,False,False,-5.372999356661048e-05,0.8692030416597405,1000
S1,15,news_mentions,60,,False,False,1.9365193146741983e-05,0.6205733531434561,1000
S1,15,news_mentions,90,,False,False,2.213986060412507e-06,0.7845368476551853,1000
S1,16,news_mentions,1,,False,False,0.00011338081177220698,0.7260938969603052,1000
S1,16,news_mentions,7,,False,False,0.0005502870130754849,0.092030170855391,1000
S1,16,news_mentions,14,,False,False,0.0003774959207515618,0.2535021117854368,1000
S1,16,news_mentions,30,,False,False,6.392672499405102e-05,0.850488451212039,1000
S1,16,news_mentions,60,,False,False,1.829479852354778e-05,0.5700618631309624,1000
S1,16,news_mentions,90,,False,False,1.71189070162347e-06,0.8103981982025337,1000
S1,17,news_mentions,1,,False,False,-0.00013188659338842068,0.680899347684119,1000
S1,17,news_mentions,7,,False,False,0.00017061025619918092,0.6006182354335903,1000
S1,17,news_mentions,14,,False,False,-0.0002484031068335704,0.45402162499978393,1000
S1,17,news_mentions,30,,False,False,-0.000467305668718572,0.17556837126681346,1000
S1,17,news_mentions,60,,False,False,-1.1830241094531958e-05,0.767851874456472,1000
S1,17,news_mentions,90,,False,False,-2.02515233130271e-06,0.8165442586455858,1000
S1,18,news_mentions,1,,False,False,0.0002534551178921788,0.44025993740581826,1000
S1,18,news_mentions,7,,False,False,-0.00014579460499398355,0.6609909805825029,1000
S1,18,news_mentions,14,,False,False,0.00021833567607516132,0.5138573806640361,1000
S1,18,news_mentions,30,,False,False,0.0006416570859211628,0.0572354242997104,1000
S1,18,news_mentions,60,,False,False,-6.480881503116418e-06,0.905014717371551,1000
S1,18,news_mentions,90,,False,False,5.690066211206861e-07,0.9642311332283828,1000
S1,19,news_mentions,1,,False,False,-0.00010102870383276161,0.750202901921903,1000
S1,19,news_mentions,7,,False,False,0.00023052487932518153,0.4707271188661597,1000
S1,19,news_mentions,14,,False,False,6.455298521292777e-05,0.8413378434859913,1000
S1,19,news_mentions,30,,False,False,0.00012672038694030424,0.7052046803814846,1000
S1,19,news_mentions,60,,False,False,2.3659309790585676e-05,0.49380874518179585,1000
S1,19,news_mentions,90,,False,False,-2.5618352439656068e-06,0.7403448868283355,1000
S1,20,news_mentions,1,,False,False,-0.00010611387402632266,0.7368746824114967,1000
S1,20,news_mentions,7,,False,False,0.0007242503044917731,0.022805347792344,1000
S1,20,news_mentions,14,,False,False,-0.00014390129999972967,0.6562967154185075,1000
S1,20,news_mentions,30,,False,False,0.0006864725334207573,0.037796172098754965,1000
S1,20,news_mentions,60,,False,False,2.81183128836248e-05,0.5087532433283808,1000
S1,20,news_mentions,90,,False,False,-2.4713620463851598e-06,0.7419271101459,1000
S1,21,news_mentions,1,,False,False,-0.0005213004721707599,0.0973913103667694,1000
S1,21,news_mentions,7,,False,False,-0.00022549557512777362,0.4754116830084991,1000
S1,21,news_mentions,14,,False,False,0.0002485114914494461,0.4372307321299824,1000
S1,21,news_mentions,30,,False,False,0.0002639130461471143,0.42162254300041857,1000
S1,21,news_mentions,60,,False,False,1.692896017936194e-05,0.5684036853732373,1000
S1,21,news_mentions,90,,False,False,1.371509362884129e-06,0.8252092711491841,1000
S1,22,news_mentions,1,,False,False,0.00020642983050554189,0.5247578969776492,1000
S1,22,news_mentions,7,,False,False,-0.0005649885397106126,0.08485136856211462,1000
S1,22,news_mentions,14,,False,False,-0.00024853874698693734,0.4528461891035618,1000
S1,22,news_mentions,30,,False,False,-0.0005166348930109998,0.13069464703381883,1000
S1,22,news_mentions,60,,False,False,-2.012211114071044e-05,0.650885213402292,1000
S1,22,news_mentions,90,,False,False,1.064268969920368e-05,0.40297906705794073,1000
S1,23,news_mentions,1,,False,False,-0.00025175925261099793,0.43642145143421596,1000
S1,23,news_mentions,7,,False,False,-0.00020417220156200582,0.5335525493839341,1000
S1,23,news_mentions,14,,False,False,-0.00011840663050328361,0.7206177248169956,1000
S1,23,news_mentions,30,,False,False,-0.0001272125879904226,0.7054745750282962,1000
S1,23,news_mentions,60,,False,False,2.6152752826773485e-05,0.4192192225212463,1000
S1,23,news_mentions,90,,False,False,2.893989713676765e-07,0.967775824911832,1000
S1,24,news_mentions,1,,False,False,-4.7932835056418715e-05,0.8780819076041786,1000
S1,24,news_mentions,7,,False,False,6.781252843537821e-05,0.8297139641582647,1000
S1,24,news_mentions,14,,False,False,-0.0002809893990691284,0.37758897419528403,1000
S1,24,news_mentions,30,,False,False,-0.00016531661894475953,0.6126259562826011,1000
S1,24,news_mentions,60,,False,False,5.150900521711205e-06,0.8730071076307397,1000
S1,24,news_mentions,90,,False,False,-3.951590396053729e-06,0.6094718796311014,1000
S1,25,news_mentions,1,,False,False,4.0580836061878265e-05,0.901726680345259,1000
S1,25,news_mentions,7,,False,False,-0.00026885948672575343,0.4165342103658749,1000
S1,25,news_mentions,14,,False,False,-2.9722251692529704e-05,0.9292454666350451,1000
S1,25,news_mentions,30,,False,False,0.00028045638670616514,0.4138233960510427,1000
S1,25,news_mentions,60,,False,False,-1.654078083958269e-05,0.702506265370944,1000
S1,25,news_mentions,90,,False,False,-1.7856145910893001e-06,0.8635549386484125,1000
S1,26,news_mentions,1,,False,False,-0.0002444203127485283,0.4374791435333749,1000
S1,26,news_mentions,7,,False,False,3.301273513352098e-05,0.9170709497672638,1000
S1,26,news_mentions,14,,False,False,1.3488003099401563e-05,0.9663635212618569,1000
S1,26,news_mentions,30,,False,False,-0.0002223275048931803,0.5008145094135816,1000
S1,26,news_mentions,60,,False,False,2.9140571852847634e-06,0.9295627818120695,1000
S1,26,news_mentions,90,,False,False,-1.992256760401872e-06,0.7827790587514794,1000
S1,27,news_mentions,1,,False,False,-0.0001887184358342157,0.5450149499389108,1000
S1,27,news_mentions,7,,False,False,0.00024103170046660893,0.44293851521889094,1000
S1,27,news_mentions,14,,False,False,0.00014168645655838444,0.65498623782195,1000
S1,27,news_mentions,30,,False,False,0.00028581631376758775,0.3828663796619054,1000
S1,27,news_mentions,60,,False,False,5.47461730612581e-08,0.998736776133129,1000
S1,27,news_mentions,90,,False,False,-6.508404524869374e-07,0.934059441059794,1000
S1,28,news_mentions,1,,False,False,-1.6342098748114144e-05,0.9599435128440721,1000
S1,28,news_mentions,7,,False,False,-0.00011082742468786756,0.7337272316323176,1000
S1,28,news_mentions,14,,False,False,-8.98170673863738e-05,0.7851878088515658,1000
S1,28,news_mentions,30,,False,False,-0.000374674139274506,0.26723712089737295,1000
S1,28,news_mentions,60,,False,False,1.0423073920497802e-06,0.9736490162311358,1000
S1,28,news_mentions,90,,False,False,6.818723945241006e-07,0.9187624811523907,1000
S1,29,news_mentions,1,,False,False,0.0001515429065897526,0.631130788412015,1000
S1,29,news_mentions,7,,False,False,0.00022663820945507515,0.47756551010857873,1000
S1,29,news_mentions,14,,False,False,0.0003282556009266594,0.3090469760304553,1000
S1,29,news_mentions,30,,False,False,0.0003465006000129796,0.2907141276288987,1000
S1,29,news_mentions,60,,False,False,-5.629213446616966e-06,0.8384803010338804,1000
S1,29,news_mentions,90,,False,False,1.6374431862992686e-08,0.9973643659266636,1000
S1,30,news_mentions,1,,False,False,-0.00012395242993414144,0.7004441767403375,1000
S1,30,news_mentions,7,,False,False,0.00028289159100674345,0.38559769792431897,1000
S1,30,news_mentions,14,,False,False,-0.00048526373564489726,0.14224144852495613,1000
S1,30,news_mentions,30,,False,False,-0.0002207385178043324,0.5151051080163191,1000
S1,30,news_mentions,60,,False,False,-5.46061533499833e-06,0.9027227008836249,1000
S1,30,news_mentions,90,,False,False,-5.4965863997499125e-06,0.6029613791208714,1000
S1,31,news_mentions,1,,False,False,-6.964953844212769e-05,0.8307058989615885,1000
S1,31,news_mentions,7,,False,False,0.0003657620369036367,0.2670602947383065,1000
S1,31,news_mentions,14,,False,False,0.00041363866172557595,0.21678533466136507,1000
S1,31,news_mentions,30,,False,False,-0.0004319633387367384,0.2090051833672124,1000
S1,31,news_mentions,60,,False,False,-1.3637479157372733e-05,0.6838636370596225,1000
S1,31,news_mentions,90,,False,False,-2.1394146781022927e-06,0.6836325554582783,1000
S1,32,news_mentions,1,,False,False,-0.0006961844969447091,0.028409546762748095,1000
S1,32,news_mentions,7,,False,False,-4.057836298889807e-05,0.8994610644746521,1000
S1,32,news_mentions,14,,False,False,-0.0001241783518968607,0.7028385550858847,1000
S1,32,news_mentions,30,,False,False,2.6250946683274935e-05,0.9365927757848278,1000
S1,32,news_mentions,60,,False,False,-9.693190558013203e-06,0.7462625959121232,1000
S1,32,news_mentions,90,,False,False,-4.965441923051842e-07,0.9240660092186106,1000
S1,33,news_mentions,1,,False,False,0.0003044808090339709,0.32394223628422836,1000
S1,33,news_mentions,7,,False,False,-7.621970875299904e-05,0.8067382491735235,1000
S1,33,news_mentions,14,,False,False,-0.00018108115404126646,0.5652196473299012,1000
S1,33,news_mentions,30,,False,False,8.786578796126065e-05,0.7850829204315739,1000
S1,33,news_mentions,60,,False,False,1.4328858990949853e-05,0.6542285923669673,1000
S1,33,news_mentions,90,,False,False,5.147798291054718e-06,0.4835229450901801,1000
S1,34,news_mentions,1,,False,False,-0.0005955205735993029,0.055124735883683273,1000
S1,34,news_mentions,7,,False,False,0.00038536012095188285,0.21956666451126683,1000
S1,34,news_mentions,14,,False,False,-0.00016879199208721964,0.5957717011484598,1000
S1,34,news_mentions,30,,False,False,-0.00017412240428088855,0.5923456787897254,1000
S1,34,news_mentions,60,,False,False,-1.4134997128101629e-05,0.7008687297046949,1000
S1,34,news_mentions,90,,False,False,-9.082077645299194e-06,0.40803933882991394,1000
S1,35,news_mentions,1,,False,False,-0.0005806785977344472,0.05892598104476243,1000
S1,35,news_mentions,7,,False,False,0.00013384751321702577,0.66876535947062,1000
S1,35,news_mentions,14,,False,False,-0.0006096779282134327,0.05348789751798355,1000
S1,35,news_mentions,30,,False,False,4.6689562589418756e-05,0.8854011329663225,1000
S1,35,news_mentions,60,,False,False,-8.60801802208629e-06,0.8142426882210965,1000
S1,35,news_mentions,90,,False,False,3.343117545221335e-07,0.962892124352352,1000
S1,36,news_mentions,1,,False,False,-2.781793721096112e-05,0.9275449595598191,1000
S1,36,news_mentions,7,,False,False,-0.00042719022999341877,0.1626656567575373,1000
S1,36,news_mentions,14,,False,False,-0.00013343306803161078,0.6674791680264074,1000
