dataset,seed,news_field,lag,regime_filter,is_true_signal,confirmed,score,p_value,n
S1,0,news_mentions,1,,False,True,0.05802954288905445,0.045,999
S1,0,news_mentions,7,,False,False,0.03795738304236983,0.12,993
S1,0,news_mentions,14,,False,False,0.041631034475005047,0.88,986
S1,0,news_mentions,30,,False,False,0.03517002576637108,0.82,970
S1,0,news_mentions,60,,False,True,0.06493898744611738,0.03,940
S1,0,news_mentions,90,,False,False,0.03434041077377702,0.86,910
S1,1,news_mentions,1,,False,False,0.02414216775194842,0.32,999
S1,1,news_mentions,7,,False,False,0.00012524462517178817,0.475,993
S1,1,news_mentions,14,,False,False,0.022922030831634858,0.21,986
S1,1,news_mentions,30,,False,False,0.040670208040840025,0.115,970
S1,1,news_mentions,60,,False,False,0.049548105249899235,0.905,940
S1,1,news_mentions,90,,False,False,0.011412988258648768,0.625,910
S1,2,news_mentions,1,,False,False,0.02386599135957217,0.745,999
S1,2,news_mentions,7,,False,False,0.03294837023180442,0.79,993
S1,2,news_mentions,14,,False,False,0.028957142457445326,0.2,986
S1,2,news_mentions,30,,False,False,0.03739031801843119,0.865,970
S1,2,news_mentions,60,,False,False,0.039205351809481266,0.92,940
S1,2,news_mentions,90,,False,False,0.03365220746278164,0.865,910
S1,3,news_mentions,1,,False,False,0.009368826343607955,0.6,999
S1,3,news_mentions,7,,False,False,0.003938164998018622,0.505,993
S1,3,news_mentions,14,,False,False,0.022296176706135613,0.325,986
S1,3,news_mentions,30,,False,False,0.01266891877234012,0.615,970
S1,3,news_mentions,60,,False,False,0.025923982869045254,0.795,940
S1,3,news_mentions,90,,False,False,0.03576934950088757,0.855,910
S1,4,news_mentions,1,,False,False,0.0014764239239843902,0.41,999
S1,4,news_mentions,7,,False,False,0.013687773072789105,0.35,993
S1,4,news_mentions,14,,False,False,0.026596461739516863,0.755,986
S1,4,news_mentions,30,,False,False,0.017222794054095724,0.65,970
S1,4,news_mentions,60,,False,False,0.00402384557459803,0.47,940
S1,4,news_mentions,90,,False,False,0.055286276018600644,0.915,910
S1,5,news_mentions,1,,False,False,0.057820038534605545,0.96,999
S1,5,news_mentions,7,,False,False,0.05913261984277628,0.955,993
S1,5,news_mentions,14,,False,False,0.038217948627590974,0.86,986
S1,5,news_mentions,30,,False,False,0.011944776071065194,0.425,970
S1,5,news_mentions,60,,False,False,0.0017226706911257024,0.475,940
S1,5,news_mentions,90,,False,False,0.03448589331431204,0.825,910
S1,6,news_mentions,1,,False,False,0.017751721983950475,0.705,999
S1,6,news_mentions,7,,False,False,0.005007883670191872,0.39,993
S1,6,news_mentions,14,,False,False,0.007754094459229684,0.63,986
S1,6,news_mentions,30,,False,False,0.022845963165025757,0.23,970
S1,6,news_mentions,60,,False,True,0.05777110774473383,0.025,940
S1,6,news_mentions,90,,False,False,0.0088954157903102,0.555,910
S1,7,news_mentions,1,,False,False,0.002332455841200561,0.45,999
S1,7,news_mentions,7,,False,False,0.008854272533579354,0.34,993
S1,7,news_mentions,14,,False,False,0.008893240247852487,0.625,986
S1,7,news_mentions,30,,False,False,0.004789944994526816,0.55,970
S1,7,news_mentions,60,,False,False,0.03611558846269582,0.175,940
S1,7,news_mentions,90,,False,False,0.07570352216603068,0.97,910
S1,8,news_mentions,1,,False,False,0.02203538880648195,0.72,999
S1,8,news_mentions,7,,False,False,0.005251177429595742,0.575,993
S1,8,news_mentions,14,,False,False,0.0630760807395511,0.975,986
S1,8,news_mentions,30,,False,False,0.01081692027612119,0.39,970
S1,8,news_mentions,60,,False,False,0.020348078306797242,0.27,940
S1,8,news_mentions,90,,False,False,0.03882300277107902,0.165,910
S1,9,news_mentions,1,,False,False,0.06412521195052168,0.98,999
S1,9,news_mentions,7,,False,False,0.022872759183785743,0.675,993
S1,9,news_mentions,14,,False,False,0.014297376747468796,0.635,986
S1,9,news_mentions,30,,False,False,0.012919828107161009,0.295,970
S1,9,news_mentions,60,,False,False,0.04315031693479405,0.84,940
S1,9,news_mentions,90,,False,False,0.014819105576564625,0.595,910
S1,10,news_mentions,1,,False,False,0.007256210746759437,0.515,999
S1,10,news_mentions,7,,False,False,0.039265974796277435,0.11,993
S1,10,news_mentions,14,,False,False,0.00789291296442085,0.64,986
S1,10,news_mentions,30,,False,False,0.001673383587722903,0.49,970
S1,10,news_mentions,60,,False,False,0.0120033505474337,0.415,940
S1,10,news_mentions,90,,False,False,0.015200266428415937,0.31,910
S1,11,news_mentions,1,,False,False,0.0007162222532208949,0.56,999
S1,11,news_mentions,7,,False,False,0.02560399603688001,0.725,993
S1,11,news_mentions,14,,False,False,0.031609496794479344,0.79,986
S1,11,news_mentions,30,,False,False,0.04720173358102822,0.92,970
S1,11,news_mentions,60,,False,False,0.0034445423704894253,0.575,940
S1,11,news_mentions,90,,False,False,0.0021031008783271863,0.49,910
S1,12,news_mentions,1,,False,False,0.03661824642650263,0.885,999
S1,12,news_mentions,7,,False,True,0.05792246536664875,0.05,993
S1,12,news_mentions,14,,False,False,0.034769081555921094,0.155,986
S1,12,news_mentions,30,,False,False,0.006098717486354545,0.555,970
S1,12,news_mentions,60,,False,False,0.007463223785811272,0.44,940
S1,12,news_mentions,90,,False,False,0.04204971987648454,0.135,910
S1,13,news_mentions,1,,False,False,0.013456766600571775,0.7,999
S1,13,news_mentions,7,,False,False,0.055552221073781126,0.065,993
S1,13,news_mentions,14,,False,False,0.01404151193254716,0.705,986
S1,13,news_mentions,30,,False,False,0.0051544230736443744,0.515,970
S1,13,news_mentions,60,,False,False,0.01337856538360888,0.675,940
S1,13,news_mentions,90,,False,False,0.03983578361953542,0.865,910
S1,14,news_mentions,1,,False,False,0.0268730844032843,0.775,999
S1,14,news_mentions,7,,False,False,0.025961225359237627,0.285,993
S1,14,news_mentions,14,,False,False,0.018247654396394815,0.31,986
S1,14,news_mentions,30,,False,False,0.003149952126764635,0.56,970
S1,14,news_mentions,60,,False,False,0.011840331384550117,0.62,940
S1,14,news_mentions,90,,False,False,0.03290534124603944,0.77,910
S1,15,news_mentions,1,,False,False,0.030892056645210733,0.81,999
S1,15,news_mentions,7,,False,False,0.02519223221427965,0.73,993
S1,15,news_mentions,14,,False,False,0.04143998702806024,0.895,986
S1,15,news_mentions,30,,False,False,0.08863913664836028,0.99,970
