method,dataset,metric,value
M1_corr_levels,S1,tpr,
M1_corr_levels,S1,fpr,0.0
M1_corr_levels,S1,precision,
M1_corr_levels,S1,f1,
M1_corr_levels,S2,tpr,
M1_corr_levels,S2,fpr,0.9033
M1_corr_levels,S2,precision,0.0
M1_corr_levels,S2,f1,
M1_corr_levels,S3,tpr,0.0
M1_corr_levels,S3,fpr,0.0
M1_corr_levels,S3,precision,
M1_corr_levels,S3,f1,
M1_corr_levels,S4,tpr,0.0
M1_corr_levels,S4,fpr,0.0
M1_corr_levels,S4,precision,
M1_corr_levels,S4,f1,
M1_corr_levels,S5,tpr,0.0
M1_corr_levels,S5,fpr,0.0
M1_corr_levels,S5,precision,
M1_corr_levels,S5,f1,
M1_corr_levels,S6,tpr,
M1_corr_levels,S6,fpr,0.0
M1_corr_levels,S6,precision,
M1_corr_levels,S6,f1,
M2_corr_returns_hac,S1,tpr,
M2_corr_returns_hac,S1,fpr,0.0
M2_corr_returns_hac,S1,precision,
M2_corr_returns_hac,S1,f1,
M2_corr_returns_hac,S2,tpr,
M2_corr_returns_hac,S2,fpr,0.0
M2_corr_returns_hac,S2,precision,
M2_corr_returns_hac,S2,f1,
M2_corr_returns_hac,S3,tpr,0.0
M2_corr_returns_hac,S3,fpr,0.0
M2_corr_returns_hac,S3,precision,
M2_corr_returns_hac,S3,f1,
M2_corr_returns_hac,S4,tpr,1.0
M2_corr_returns_hac,S4,fpr,0.0
M2_corr_returns_hac,S4,precision,1.0
M2_corr_returns_hac,S4,f1,1.0
M2_corr_returns_hac,S5,tpr,0.0
M2_corr_returns_hac,S5,fpr,0.0
M2_corr_returns_hac,S5,precision,
M2_corr_returns_hac,S5,f1,
M2_corr_returns_hac,S6,tpr,
M2_corr_returns_hac,S6,fpr,0.0
M2_corr_returns_hac,S6,precision,
M2_corr_returns_hac,S6,f1,
M3_granger_hac,S1,tpr,
M3_granger_hac,S1,fpr,0.01
M3_granger_hac,S1,precision,0.0
M3_granger_hac,S1,f1,
M3_granger_hac,S2,tpr,
M3_granger_hac,S2,fpr,0.0083
M3_granger_hac,S2,precision,0.0
M3_granger_hac,S2,f1,
M3_granger_hac,S3,tpr,1.0
M3_granger_hac,S3,fpr,0.022
M3_granger_hac,S3,precision,0.9009
M3_granger_hac,S3,f1,0.9479
M3_granger_hac,S4,tpr,1.0
M3_granger_hac,S4,fpr,0.0127
M3_granger_hac,S4,precision,0.8772
M3_granger_hac,S4,f1,0.9346
M3_granger_hac,S5,tpr,1.0
M3_granger_hac,S5,fpr,0.0081
M3_granger_hac,S5,precision,0.939
M3_granger_hac,S5,f1,0.9685
M3_granger_hac,S6,tpr,
M3_granger_hac,S6,fpr,0.135
M3_granger_hac,S6,precision,0.0
M3_granger_hac,S6,f1,
M4_event_study_hac,S1,tpr,
M4_event_study_hac,S1,fpr,0.0283
M4_event_study_hac,S1,precision,0.0
M4_event_study_hac,S1,f1,
M4_event_study_hac,S2,tpr,
M4_event_study_hac,S2,fpr,0.0283
M4_event_study_hac,S2,precision,0.0
M4_event_study_hac,S2,f1,
M4_event_study_hac,S3,tpr,1.0
M4_event_study_hac,S3,fpr,0.018
M4_event_study_hac,S3,precision,0.9174
M4_event_study_hac,S3,f1,0.9569
M4_event_study_hac,S4,tpr,1.0
M4_event_study_hac,S4,fpr,0.0227
M4_event_study_hac,S4,precision,0.8
M4_event_study_hac,S4,f1,0.8889
M4_event_study_hac,S5,tpr,0.915
M4_event_study_hac,S5,fpr,0.0169
M4_event_study_hac,S5,precision,0.8714
M4_event_study_hac,S5,f1,0.8927
M4_event_study_hac,S6,tpr,
M4_event_study_hac,S6,fpr,0.065
M4_event_study_hac,S6,precision,0.0
M4_event_study_hac,S6,f1,
M5_var_orth_irf,S1,tpr,
M5_var_orth_irf,S1,fpr,0.0067
M5_var_orth_irf,S1,precision,0.0
M5_var_orth_irf,S1,f1,
M5_var_orth_irf,S2,tpr,
M5_var_orth_irf,S2,fpr,0.0017
M5_var_orth_irf,S2,precision,0.0
M5_var_orth_irf,S2,f1,
M5_var_orth_irf,S3,tpr,1.0
M5_var_orth_irf,S3,fpr,0.01
M5_var_orth_irf,S3,precision,0.9524
M5_var_orth_irf,S3,f1,0.9756
M5_var_orth_irf,S4,tpr,1.0
M5_var_orth_irf,S4,fpr,0.0018
