rank,label,methods,k,n_methods,rule,avg_fpr,avg_tpr,max_fpr_S1S2S6,pre_penalty,post_penalty,triggered_post,loss
1,M5+M6/AND,"M5_var_orth_irf,M6_lgbm_walkforward",2,2,AND,0.0,0.9967,0.0,0.0,0.0,,0.1033
2,M6/SINGLE,M6_lgbm_walkforward,1,1,SINGLE,0.0622,0.9967,0.1183,0.0,1.0,M009,0.1156
3,M3+M6/AND,"M3_granger_hac,M6_lgbm_walkforward",2,2,AND,0.0206,0.9967,0.0583,0.0,0.0,,0.1239
4,M4+M6/AND,"M4_event_study_hac,M6_lgbm_walkforward",2,2,AND,0.005,0.97,0.0133,0.0,0.0,,0.135
5,M3+M5+M6/AND,"M3_granger_hac,M5_var_orth_irf,M6_lgbm_walkforward",3,3,AND,0.0,0.9967,0.0,0.0,0.0,,0.1533
6,M2+M5+M6/MAJ_2of3,"M2_corr_returns_hac,M5_var_orth_irf,M6_lgbm_walkforward",2,3,MAJ_2of3,0.0,0.9967,0.0,0.0,0.0,,0.1533
7,M4+M5+M6/MAJ_2of3,"M4_event_study_hac,M5_var_orth_irf,M6_lgbm_walkforward",2,3,MAJ_2of3,0.0061,0.9983,0.0133,0.0,0.0,,0.1578
8,M5+M6/OR,"M5_var_orth_irf,M6_lgbm_walkforward",1,2,OR,0.0656,1.0,0.12,0.0,1.0,M009,0.1656
9,M2+M6/OR,"M2_corr_returns_hac,M6_lgbm_walkforward",1,2,OR,0.0622,0.9967,0.1183,0.0,1.0,M009,0.1656
10,M3+M5+M6/MAJ_2of3,"M3_granger_hac,M5_var_orth_irf,M6_lgbm_walkforward",2,3,MAJ_2of3,0.0222,1.0,0.0583,0.0,0.0,,0.1722
11,M2+M3+M6/MAJ_2of3,"M2_corr_returns_hac,M3_granger_hac,M6_lgbm_walkforward",2,3,MAJ_2of3,0.0206,0.9967,0.0583,0.0,0.0,,0.1739
12,M4+M5+M6/AND,"M4_event_study_hac,M5_var_orth_irf,M6_lgbm_walkforward",3,3,AND,0.0,0.97,0.0,0.0,0.0,,0.18
13,M3+M4+M6/MAJ_2of3,"M3_granger_hac,M4_event_study_hac,M6_lgbm_walkforward",2,3,MAJ_2of3,0.0294,0.9983,0.08,0.0,0.0,,0.1811
